
opcode=42(aload_0)	,pushnum=1,load=0,lineinfo=trace.MultiTest#pass#83#0,nextinst=1
opcode=3(iconst_0)	,pushnum=1,lineinfo=trace.MultiTest#pass#83#1,nextinst=2
opcode=182(invokevirtual)	,calltype=(I)I,callclass=trace.MultiTest,callname=foo,lineinfo=trace.MultiTest#pass#83#2,nextinst=5
opcode=4(iconst_1)	,pushnum=1,lineinfo=trace.MultiTest#foo#14#0,nextinst=1
opcode=61(istore_2)	,popnum=1,store=2,lineinfo=trace.MultiTest#foo#14#1,nextinst=2
opcode=3(iconst_0)	,pushnum=1,lineinfo=trace.MultiTest#foo#16#2,nextinst=3
opcode=62(istore_3)	,popnum=1,store=3,lineinfo=trace.MultiTest#foo#16#3,nextinst=4
opcode=3(iconst_0)	,pushnum=1,lineinfo=trace.MultiTest#foo#17#4,nextinst=5
opcode=54(istore)	,popnum=1,store=4,lineinfo=trace.MultiTest#foo#17#5,nextinst=7
opcode=3(iconst_0)	,pushnum=1,lineinfo=trace.MultiTest#foo#18#7,nextinst=8
opcode=54(istore)	,popnum=1,store=5,lineinfo=trace.MultiTest#foo#18#8,nextinst=10
opcode=3(iconst_0)	,pushnum=1,lineinfo=trace.MultiTest#foo#19#10,nextinst=11
opcode=54(istore)	,popnum=1,store=6,lineinfo=trace.MultiTest#foo#19#11,nextinst=13
opcode=3(iconst_0)	,pushnum=1,lineinfo=trace.MultiTest#foo#20#13,nextinst=14
opcode=54(istore)	,popnum=1,store=7,lineinfo=trace.MultiTest#foo#20#14,nextinst=16
opcode=3(iconst_0)	,pushnum=1,lineinfo=trace.MultiTest#foo#21#16,nextinst=17
opcode=54(istore)	,popnum=1,store=8,lineinfo=trace.MultiTest#foo#21#17,nextinst=19
opcode=3(iconst_0)	,pushnum=1,lineinfo=trace.MultiTest#foo#22#19,nextinst=20
opcode=54(istore)	,popnum=1,store=9,lineinfo=trace.MultiTest#foo#22#20,nextinst=22
opcode=3(iconst_0)	,pushnum=1,lineinfo=trace.MultiTest#foo#23#22,nextinst=23
opcode=54(istore)	,popnum=1,store=10,lineinfo=trace.MultiTest#foo#23#23,nextinst=25
opcode=3(iconst_0)	,pushnum=1,lineinfo=trace.MultiTest#foo#24#25,nextinst=26
opcode=54(istore)	,popnum=1,store=11,lineinfo=trace.MultiTest#foo#24#26,nextinst=28
opcode=3(iconst_0)	,pushnum=1,lineinfo=trace.MultiTest#foo#25#28,nextinst=29
opcode=54(istore)	,popnum=1,store=12,lineinfo=trace.MultiTest#foo#25#29,nextinst=31
opcode=3(iconst_0)	,pushnum=1,lineinfo=trace.MultiTest#foo#26#31,nextinst=32
opcode=54(istore)	,popnum=1,store=13,lineinfo=trace.MultiTest#foo#26#32,nextinst=34
opcode=3(iconst_0)	,pushnum=1,lineinfo=trace.MultiTest#foo#27#34,nextinst=35
opcode=54(istore)	,popnum=1,store=14,lineinfo=trace.MultiTest#foo#27#35,nextinst=37
opcode=3(iconst_0)	,pushnum=1,lineinfo=trace.MultiTest#foo#28#37,nextinst=38
